Chromosome	Start	Stop	Name	Size	Orientation	RefSeq	FlyBase	CStart	CStop	NumExons
chr3R	17696402	17699362	CG31431	2960	+	NM_001260303	CG31431	17697756	17699243	5
chr3R	21129858	21131373	CG31436	1515	+	NM_170217	CG31436	21129935	21131311	3
chr3R	21209421	21210345	CG31437	924	+	NM_170226	CG31437	21209437	21210307	2
chr3R	7062007	7063346	CG31441	1339	+	NM_001300354	CG31441	7062078	7062282	3
chr3R	25066301	25070549	CG31445	4248	-	NM_001276135	CG31445	25066492	25069564	7
chr3R	11518807	11519916	CG31446	1109	+	NM_001275681	CG31446	11518851	11519790	3
chr3R	4347379	4349242	CG31454	1863	+	NM_169224	CG31454	4347747	4349242	3
chr3R	18952302	18953703	CG31457	1401	-	NM_170051	CG31457	18952429	18953502	2
chr3R	15666566	15667762	CG31459	1196	+	NM_169876	CG31459	15666717	15667640	4
chr3R	4388394	4389167	CG31460	773	+	NM_001300307	CG31460	4388604	4389086	2
chr3R	4118056	4119331	CG31463	1275	+	NM_169215	CG31463	4118087	4119239	1
chr3R	4116961	4117756	CG31464	795	+	NM_169214	CG31464	4116973	4117726	2
chr3R	17706531	17709712	CG31465	3181	+	NM_001275887	CG31465	17706647	17708782	3
chr3R	6530891	6532585	CG31467	1694	-	NM_169353	CG31467	6531013	6532456	1
chr3R	19525049	19526076	CG31468	1027	-	NM_001275950	CG31468	19525620	19525923	2
chr3R	9534880	9535661	CG31469	781	-	NM_169551	CG31469	9534993	9535656	4
chr3R	3637535	3638731	CG31473	1196	+	NM_169196	CG31473	3637617	3638606	2
chr3R	15006380	15026818	CG31475	20438	+	NM_001275796	CG31475	15015801	15026574	4
chr3R	2426963	2427923	CG31482	960	+	NM_169150	CG31482	2427031	2427787	4
chrX	5586977	5589238	CG3149	2261	-	NM_132018	CG3149	5587186	5589098	4
chr3R	2957281	2958417	CG31493	1136	+	NM_169174	CG31493	2957396	2958268	3
chr3R	9663961	9665656	CG31495	1695	-	NM_169559	CG31495	9664495	9665521	1
chr3R	3170790	3172076	CG31496	1286	+	NM_169182	CG31496	3170934	3172000	2
chr3R	20942939	20948642	CG31510	5703	-	NM_170203	CG31510	20943298	20946751	2
chr3R	19214094	19214620	CG31515	526	-	NM_170074	CG31515	19214146	19214593	2
chr3R	44184	45852	CG31516	1668	-	NM_164316	CG31516	44671	45418	1
chr3R	9774141	9775464	CG31517	1323	+	NM_001300393	CG31517	9774556	9774832	3
chr3R	267136	288605	CG31522	21469	-	NM_001275325	CG31522	268468	273480	11
chr3R	291142	304929	CG31523	13787	-	NM_169006	CG31523	292412	294246	8
chr3R	26338046	26340077	CG31524	2031	-	NM_001043312	CG31524	26338117	26340068	7
chr3R	252751	253922	CG31525	1171	+	NM_168998	CG31525	252890	253841	1
chr3R	358969	359662	CG31526	693	+	NM_001043209	CG31526	359275	359488	2
chr3R	242159	243387	CG31528	1228	+	NM_168995	CG31528	242263	243298	1
chr3R	9980449	9983153	CG31533	2704	-	NM_169569	CG31533	9980478	9983013	1
chr3R	1101399	1103557	CG31538	2158	-	NM_169046	CG31538	1101626	1103318	1
chr3R	1195261	1197466	CG31542	2205	+	NM_001202250	CG31542	1195313	1195972	5
chr3R	3244719	3245854	CG31544	1135	+	NM_169186	CG31544	3244719	3245854	3
chr3R	1460347	1461346	CG31546	999	-	NM_169084	CG31546	1460489	1461284	1
chr3R	1315226	1328424	CG31547	13198	-	NM_169057	CG31547	1315504	1328018	10
chr3R	1461622	1462574	CG31548	952	-	NM_169085	CG31548	1461756	1462527	1
chr3R	1457913	1459043	CG31549	1130	+	NM_169083	CG31549	1458117	1458891	1
chr3R	1311264	1315211	CG31550	3947	+	NM_001275356	CG31550	1311360	1315115	7
chr3R	1453573	1457755	CG31551	4182	+	NM_169082	CG31551	1453573	1457755	1
chr3R	1975837	1982957	CG31559	7120	-	NM_169127	CG31559	1976296	1982778	2
chrX	381910	384758	CG3156	2848	+	NM_130488	CG3156	382022	384604	6
chr3R	2135697	2136720	CG31560	1023	+	NM_169135	CG31560	2135717	2136612	2
chrX	5579285	5583506	CG3160	4221	-	NM_132017	CG3160	5579944	5583434	10
chr2L	21914268	21915358	CG31600	1090	-	NM_001299199	CG31600	21914439	21915302	4
chr2L	22040726	22043877	CG31601	3151	-	NM_165403	CG31601	22040789	22043687	8
chr2L	8147610	8148356	CG31606	746	+	NM_164791	CG31606	8147629	8148279	2
chr2L	9097562	9098175	CG31609	613	+	NM_164847	CG31609	9097626	9098056	2
chr2L	21762313	21795447	CG31612	33134	-	NM_165400	CG31612	21762574	21775440	4
chr2L	21199237	21200375	CG31624	1138	-	NM_165361	CG31624	21199400	21199937	2
chr2L	21232494	21236733	CG31626	4239	-	NM_165362	CG31626	21232644	21233637	3
chr2L	21173221	21174179	CG31627	958	+	NM_165357	CG31627	21173287	21174132	2
chr2R	19916839	19918078	CG3163	1239	+	NM_138028	CG3163	19916900	19918007	1
chr2L	6654759	6656321	CG31633	1562	-	NM_164698	CG31633	6654896	6656233	3
chr2L	6632797	6649114	CG31635	16317	-	NM_001273210	CG31635	6634810	6646668	8
chr2L	6656458	6658152	CG31636	1694	-	NM_001298756	CG31636	6656669	6657738	3
chr2L	6498646	6526996	CG31637	28350	+	NM_135199	CG31637	6498875	6526014	4
chr2L	6491060	6496988	CG31638	5928	+	NM_164692	CG31638	6491234	6496065	9
chr2L	6153839	6155141	CG31639	1302	-	NM_164687	CG31639	6154698	6154875	3
chr2L	122623	130791	CG3164	8168	-	NM_164366	CG3164	123128	130551	9
chr2L	6118511	6120522	CG31642	2011	+	NM_164685	CG31642	6118757	6120431	2
chr2L	6038116	6041283	CG31643	3167	+	NM_164674	CG31643	6038202	6041131	5
chr2L	5817889	5818443	CG31644	554	-	NM_001298710	CG31644	5818047	5818385	2
chr2L	5526956	5527854	CG31648	898	+	NM_164644	CG31648	5527074	5527800	1
chr2L	2977121	2978500	CG3165	1379	+	NM_134888	CG3165	2977241	2978353	2
chr2L	5040647	5044712	CG31650	4065	-	NM_001169410	CG31650	5040881	5042713	4
chr2L	1358924	1359790	CG31659	866	-	NM_164415	CG31659	1358970	1359783	5
chr2L	1497242	1498583	CG31661	1341	+	NM_164420	CG31661	1497253	1498435	1
chr2L	1858608	1881480	CG31663	22872	-	NM_001272955	CG31663	1858827	1880114	13
chr2L	1824171	1826500	CG31664	2329	-	NM_001272954	CG31664	1824403	1826193	5
chr2L	2203720	2206166	CG31668	2446	-	NM_001103585	CG31668	2203772	2206028	9
chr2L	20829608	20831161	CG31673	1553	+	NM_001299181	CG31673	20829669	20830979	4
chr2L	20831261	20832859	CG31674	1598	+	NM_001299182	CG31674	20831477	20832783	5
chr2L	20867754	20869650	CG31675	1896	+	NM_165347	CG31675	20868145	20869337	3
chr2L	20840749	20849182	CG31676	8433	+	NM_001299184	CG31676	20840977	20848783	3
chr2L	20603534	20604196	CG31677	662	-	NM_165332	CG31677	20603623	20604100	1
chr2L	20659131	20675941	CG31678	16810	-	NM_165336	CG31678	20659612	20675689	6
chrX	6614507	6634019	CG3168	19512	-	NM_001298028	CG3168	6615584	6618278	5
chr2L	20640120	20640718	CG31680	598	+	NM_165333	CG31680	20640149	20640664	2
chr2L	2285924	2286873	CG31681	949	-	NM_164473	CG31681	2286049	2286844	1
chr2L	20456850	20459081	CG31683	2231	-	NM_165330	CG18858	20457179	20458645	4
chr2L	20450224	20456978	CG31687	6754	+	NM_001273698	CG31687	20450300	20451414	2
chr2L	20429024	20447905	CG31688	18881	+	NM_001273696	CG31688	20432500	20441857	5
chr2L	2725673	2739830	CG31689	14157	+	NM_001273025	CG31689	2725729	2739500	11
chr2L	2677733	2719431	CG31690	41698	+	NM_205893	CG31690	2684122	2719342	8
chr2L	22015189	22017334	CG31693	2145	+	NM_165402	CG31693	22015232	22017299	1
chr2L	2868626	2874489	CG31694	5863	-	NM_164511	CG31694	2869170	2873672	5
chr2L	19535447	19536104	CG31697	657	+	NM_165310	CG31697	19535553	19535997	1
chr2L	3173204	3173840	CG31698	636	-	NM_001298647	CG31698	3173302	3173825	2
chr2L	22071143	22072902	CG31702	1759	+	NM_165405	CG31702	22071300	22072675	2
chr2L	22102625	22104401	CG31703	1776	-	NM_165407	CG31703	22102854	22104223	2
chr2L	11840690	11841204	CG31704	514	+	NM_001273468	CG31704	11840711	11840918	1
chr2L	11523020	11528205	CG31705	5185	-	NM_205965	CG31705	11523549	11525666	3
chr2L	11529037	11531052	CG31706	2015	-	NM_001273458	CG31706	11529548	11530994	2
chr2L	9578119	9579638	CG31709	1519	-	NM_001298853	CG31709	9578813	9579564	3
chr2L	9702441	9705954	CG31710	3513	-	NM_001273365	CG31710	9703081	9703539	3
chr2L	9934766	9938134	CG31712	3368	-	NM_135483	CG31712	9935255	9938005	4
chr2L	10341615	10342523	CG31715	908	+	NM_001273399	CG31715	10341681	10342375	4
chr2L	10250792	10251714	CG31717	922	+	NM_001273388	CG31717	10250818	10251501	2
chr2L	13251508	13257426	CG31728	5918	+	NM_165031	CG31728	13252178	13257344	5
chr2L	13289996	13301516	CG31729	11520	+	NM_135790	CG31729	13290686	13301065	6
chr2L	13259063	13259743	CG31730	680	-	NM_165033	CG31730	13259146	13259635	1
chr2L	13784083	13790562	CG31731	6479	+	NM_001042895	CG31731	13784169	13790301	15
chr2L	15895453	15897071	CG31735	1618	+	NM_165136	CG31735	15895896	15897001	5
chr2L	16827358	16832093	CG31739	4735	+	NM_001273590	CG31739	16827723	16831378	8
chr2L	18008952	18009694	CG31740	742	+	NM_165235	CG31740	18009307	18009493	2
chr2L	18084255	18086714	CG31741	2459	+	NM_165238	CG31741	18084267	18086156	4
chr2L	16879516	16886319	CG31743	6803	+	NM_135976	CG31743	16881513	16886025	5
chr2L	17181937	17183654	CG31750	1717	+	NM_165208	CG31750	17181937	17183654	3
chr2L	18677220	18683715	CG31751	6495	+	NM_001299124	CG31751	18678853	18683265	5
chr2L	18839627	18841310	CG31752	1683	-	NM_165266	CG31752	18839928	18841278	3
chr2L	12207708	12210008	CG31759	2300	+	NM_165001	CG31759	12208215	12209910	2
chrX	375894	376801	CG3176	907	+	NM_001272167	CG3176	376164	376470	2
chr2L	12142779	12170217	CG31760	27438	+	NM_164996	CG31760	12153527	12169381	14
chr2L	14109596	14110739	CG31769	1143	-	NM_165083	CG31769	14109692	14110685	2
chr2L	3911795	3914288	CG31773	2493	-	NM_164568	CG31773	3911903	3914180	1
chr2L	14737089	14737769	CG31775	680	-	NM_165091	CG31775	14737393	14737730	2
chr2L	3470181	3472364	CG31776	2183	+	NM_164538	CG31776	3470213	3472325	4
chr2L	3706550	3707063	CG31777	513	-	NM_164550	CG31777	3706579	3707039	2
chr2L	3704105	3705488	CG31778	1383	-	NM_164549	CG31778	3704418	3704973	2
chr2L	15661040	15662753	CG31780	1713	+	NM_165119	CG31780	15661045	15662670	2
chr2L	17123306	17125961	CG31784	2655	-	NM_165203	CG31784	17123390	17125875	3
chr2L	18124097	18125749	CG31785	1652	-	NM_165241	CG31785	18124127	18125435	3
chr2L	18284844	18285720	CG31787	876	-	NM_165248	CG31787	18284935	18285634	1
chr2L	18257493	18257978	CG31788	485	-	NM_001299106	CG31788	18257598	18257838	2
chr2L	18605927	18606684	CG31789	757	+	NM_001299121	CG31789	18605941	18606357	2
chr2L	18997447	19002713	CG31792	5266	+	NM_001273619	CG31792	18997978	19002455	10
chr2L	19003366	19008234	CG31793	4868	+	NM_001299153	CG31793	19004161	19008053	6
chr2L	19259431	19262240	CG31797	2809	-	NM_165285	CG31797	19259526	19262133	1
chr2L	19394159	19396190	CG31798	2031	+	NM_165292	CG31798	19394228	19395822	3
chr2L	19033656	19034576	CG31800	920	-	NM_165272	CG31800	19033738	19034456	4
chr2L	18208414	18209237	CG31802	823	-	NM_165246	CG31802	18208587	18209148	1
chr2L	17411648	17412633	CG31803	985	-	NM_165215	CG31803	17411685	17412587	2
chr2L	17363495	17364351	CG31804	856	+	NM_165211	CG31804	17363596	17364235	1
chr2L	16898174	16900473	CG31805	2299	-	NM_001299075	CG31805	16900020	16900419	5
chr2L	16984977	16985634	CG31806	657	+	NM_001299077	CG31806	16985077	16985533	1
chr2L	16681819	16684008	CG31807	2189	-	NM_001299054	CG31807	16681898	16682327	2
chr2L	16704285	16716195	CG31808	11910	-	NM_001201893	CG31808	16705521	16705692	2
chr2L	16853619	16858714	CG31809	5095	-	NM_001103698	CG31809	16853745	16858453	5
chr2L	16849017	16852368	CG31810	3351	-	NM_165198	CG31810	16849144	16852332	5
chr2L	16729776	16731199	CG31812	1423	+	NM_165179	CG31812	16729777	16730533	2
chr2L	13736137	13737030	CG31813	893	+	NM_001298977	CG31813	13736192	13736711	1
chr2L	13676859	13717320	CG31814	40461	-	NM_165049	CG31814	13678353	13714138	13
chr2L	16605821	16607321	CG31815	1500	+	NM_165167	CG31815	16605945	16607277	1
chr2L	16542545	16543263	CG31816	718	+	NM_165166	CG31816	16542672	16543175	2
chr2L	16330559	16337885	CG31817	7326	-	NM_165153	CG31817	16330622	16337807	3
chr2L	16211458	16213304	CG31819	1846	+	NM_165148	CG31819	16211587	16213237	3
chr2L	16005788	16006279	CG31820	491	-	NM_001259111	CG31820	16005905	16006094	2
chr2L	15900934	15902410	CG31821	1476	-	NM_001299039	CG31821	15901040	15902377	2
chr2L	15898878	15900524	CG31823	1646	-	NM_165138	CG31823	15898919	15900446	3
chr2L	15771262	15773113	CG31826	1851	-	NM_165131	CG31826	15771343	15772541	5
chr2L	15705170	15706220	CG31827	1050	+	NM_165122	CG31827	15705235	15706220	2
chr2L	15030927	15031750	CG31832	823	-	NM_165098	CG31832	15030975	15031720	2
chr2L	14735842	14737067	CG31835	1225	+	NM_165090	CG31835	14735950	14737000	1
chrX	6581628	6582807	CG3184	1179	-	NM_132113	CG3184	6581702	6582773	1
chr2L	13264995	13265876	CG31848	881	-	NM_165036	CG31848	13265080	13265784	2
chr2L	13180397	13182596	CG31849	2199	-	NM_165027	CG31849	13180988	13182452	1
chr2L	13257476	13258644	CG31851	1168	+	NM_001298956	CG31851	13257679	13258294	1
chr2L	13369203	13370329	CG31855	1126	+	NM_165040	CG31855	13369400	13369730	2
chr2L	12161766	12162605	CG31861	839	+	NM_164997	CG31861	12162006	12162495	2
chr2L	12338847	12339477	CG31862	630	+	NM_165006	CG31862	12338869	12339418	1
chr2L	11144578	11145417	CG31867	839	-	NM_164958	CG31867	11144728	11145355	1
chr2L	10772037	10801109	CG31869	29072	-	NM_001144343	CG31869	10773034	10788970	8
chr2L	10790221	10791450	CG31870	1229	+	NM_001298886	CG31870	10790351	10790650	3
chr2L	10662080	10671487	CG31871	9407	+	NM_164939	CG31871	10662508	10671179	5
chr2L	10639930	10643539	CG31872	3609	+	NM_001298877	CG31872	10639945	10643375	4
chr2L	10189819	10191496	CG31874	1677	-	NM_164891	CG31874	10189915	10191424	2
chr2L	9995560	10002736	CG31875	7176	-	NM_001201836	CG31875	9996005	9996491	5
chr2L	9624451	9625285	CG31882	834	-	NM_164865	CG31882	9624857	9625223	1
chr2L	9528514	9529648	CG31883	1134	+	NM_135448	CG31883	9528527	9529514	1
chr2L	8953480	8959051	CG31886	5571	-	NM_001103659	CG31886	8954021	8958977	2
chr2L	8442446	8445815	CG31897	3369	+	NM_164821	CG31897	8442642	8445660	1
chr2L	8400420	8401592	CG31898	1172	+	NM_164817	CG31898	8400475	8401477	1
chr2L	7734414	7738809	CG31904	4395	-	NM_164769	CG31904	7734663	7736698	5
chr2L	7059213	7060851	CG31907	1638	-	NM_001298776	CG31907	7059434	7060709	2
chr2L	7024828	7027389	CG31908	2561	-	NM_001298770	CG31908	7025172	7026777	3
chr2L	7257511	7258198	CG31909	687	+	NM_164745	CG31909	7257731	7258115	2
chrX	2144177	2146026	CG3191	1849	-	NM_166934	CG3191	2144338	2145870	6
chr2L	6744662	6745622	CG31910	960	-	NM_164708	CG31910	6744698	6745542	2
chr2L	5784030	5784893	CG31913	863	+	NM_164662	CG31913	5784119	5784767	1
chr2L	5528122	5530682	CG31915	2560	+	NM_164645	CG31915	5528252	5530164	2
chr2L	5009930	5010834	CG31917	904	-	NM_135051	CG31917	5009976	5010432	2
chr2L	5055981	5058248	CG31918	2267	-	NM_135060	CG31918	5056246	5058136	1
chr2L	329909	332335	CG31921	2426	-	NM_164380	CG31921	329990	332132	1
chr2L	1170180	1170789	CG31922	609	+	NM_164408	CG31922	1170233	1170765	3
chr2L	1354100	1354919	CG31924	819	-	NM_164414	CG31924	1354180	1354891	1
chr2L	1495459	1497071	CG31926	1612	+	NM_001272941	CG31926	1495746	1496979	1
chr2L	1492294	1493859	CG31928	1565	+	NM_001272940	CG31928	1492313	1493570	1
chr2L	1821255	1823331	CG31933	2076	-	NM_164441	CG31933	1821269	1823291	1
chr2L	1594821	1611157	CG31935	16336	-	NM_134764	CG31935	1595042	1611071	5
chr2L	1729886	1731070	CG31937	1184	+	NM_134772	CG31937	1729983	1730949	1
chr2L	2415358	2416720	CG31948	1362	-	NM_164482	CG31948	2415502	2416621	1
chr2L	2300102	2300888	CG31949	786	+	NM_001201754	CG31949	2300180	2300717	2
chr2L	2878343	2879001	CG31950	658	+	NM_001273042	CG31950	2878592	2878958	1
chr2L	3416692	3418068	CG31952	1376	+	NM_001298656	CG31952	3416864	3417410	1
chr2L	3509057	3510102	CG31954	1045	-	NM_164543	CG31954	3509171	3510072	2
chr2L	3711880	3712866	CG31955	986	-	NM_001298668	CG31955	3712268	3712782	3
chr2L	3871270	3872458	CG31957	1188	-	NM_001273082	CG31957	3871552	3872335	2
chr2L	3785737	3786343	CG31958	606	+	NM_164560	CG31958	3785818	3786292	1
chr2L	3784946	3785622	CG31960	676	+	NM_164559	CG31960	3785029	3785476	1
chr2L	4186249	4187793	CG31961	1544	-	NM_164571	CG31961	4186415	4187483	2
chr2L	141076	143091	CG31974	2015	-	NM_164370	CG31974	141129	142487	4
chr2L	138383	140992	CG31975	2609	-	NM_164369	CG31975	139470	140933	6
chr2L	138383	140992	CG31976	2609	-	NM_164368	CG31976	138694	139336	6
chrX	6562571	6568006	CG3198	5435	-	NM_132109	CG3198	6566015	6567771	4
chr2L	21201492	21202802	CG31988	1310	-	NM_001299193	CG31988	21201715	21202252	2
chr3R	9988430	9989347	CG3199	917	+	NM_142085	CG3199	9988566	9989322	2
chr4	175279	176686	CG31997	1407	-	NM_001297780	CG31997	175404	176529	3
chr4	217300	226571	CG31998	9271	-	NM_001258481	CG31998	218503	224973	5
chr4	235634	248374	CG31999	12740	-	NM_001297783	CG31999	235730	246460	14
chr4	152845	163749	CG32000	10904	+	NM_205865	CG32000	155343	163421	11
chr4	171389	174164	CG32006	2775	+	NM_166734	CG32006	172376	173894	5
chr4	1158455	1182784	CG32017	24329	-	NM_001297794	CG32017	1160380	1164631	7
chr3L	8713379	8714372	CG32022	993	-	NM_001300058	CG32022	8713540	8714132	2
chr3L	8796701	8797282	CG32023	581	-	NM_168295	CG32023	8796739	8797278	2
chr3L	8800700	8801507	CG32024	807	+	NM_168296	CG32024	8800724	8801418	2
chr3L	8829561	8831943	CG32026	2382	+	NM_168297	CG32026	8829605	8831765	1
chr3L	9086152	9087956	CG32032	1804	+	NM_168317	CG32032	9086231	9087824	4
chr3L	9481149	9482333	CG32036	1184	-	NM_168348	CG32036	9481237	9482234	3
chr3L	9482601	9485315	CG32037	2714	-	NM_001274704	CG32037	9483262	9484899	5
chr3L	9352098	9353096	CG32039	998	+	NM_001300069	CG32039	9352224	9352590	3
chr3L	9347132	9348557	CG32040	1425	+	NM_168326	CG32040	9347435	9348438	2
chr3L	9780145	9801813	CG32052	21668	+	NM_001316481	CG32052	9792270	9801090	6
chr3L	10083269	10085446	CG32053	2177	-	NM_168394	CG32053	10083355	10085405	3
chr3L	10085867	10087838	CG32054	1971	-	NM_168395	CG32054	10085931	10087819	3
chr3L	10211603	10213264	CG32055	1661	-	NM_168402	CG32055	10211603	10213264	2
chr3L	10456915	10457735	CG32061	820	+	NM_168409	CG32061	10457000	10457645	1
chr3L	10633515	10654113	CG32066	20598	-	NM_168417	CG32066	10634300	10652647	5
chr3L	11055230	11055714	CG32069	484	-	NM_168435	CG32069	11055272	11055643	3
chr3L	11096520	11096973	CG32071	453	-	NM_168441	CG32071	11096520	11096973	1
chr3L	11100107	11100682	CG32073	575	-	NM_001300097	CG32073	11100127	11100457	1
chr3L	11124982	11125422	CG32074	440	-	NM_168447	CG32074	11125087	11125420	1
chr3L	11055825	11058041	CG32075	2216	-	NM_140171	CG32075	11055873	11057760	5
chr3L	11018660	11020432	CG32079	1772	+	NM_168429	CG32079	11018660	11020432	8
chr3L	11020678	11022544	CG32081	1866	+	NM_168430	CG32081	11020704	11022420	6
chr3L	11129148	11157084	CG32082	27936	+	NM_001104113	CG32082	11144612	11156523	13
chr3L	11643616	11673444	CG32085	29828	-	NM_168470	CG32085	11644069	11668582	6
chr3L	11575500	11577164	CG32086	1664	-	NM_001259792	CG32086	11575541	11577133	3
chr3L	11725240	11726710	CG32087	1470	+	NM_168474	CG32087	11725323	11726547	1
chr2R	19956279	19961075	CG3209	4796	+	NM_001299890	CG3209	19956722	19960854	5
chr3L	11624491	11636002	CG32091	11511	+	NM_168468	CG32091	11628200	11635593	7
chr3L	11817306	11818832	CG32095	1526	-	NM_168482	CG32095	11817396	11818686	1
chr3L	12142372	12143429	CG32099	1057	+	NM_168492	CG32099	12142466	12143339	1
chr3L	12260627	12262903	CG32100	2276	+	NM_168495	CG32100	12260729	12262300	2
chr3L	12462171	12462884	CG32102	713	-	NM_168500	CG32102	12462256	12462523	2
chr3L	12395394	12407942	CG32103	12548	-	NM_206345	CG32103	12397154	12407003	8
chr3L	12386903	12392422	CG32104	5519	-	NM_140316	CG32104	12386968	12392367	13
chr3L	12322331	12329001	CG32105	6670	+	NM_001274825	CG32105	12322569	12328519	3
chr3L	12767050	12771816	CG32106	4766	-	NM_001259807	CG32106	12767096	12771559	5
chr3L	12850381	12854405	CG32107	4024	-	NM_001274860	CG32107	12851309	12854384	3
chr3L	12738443	12739870	CG32109	1427	+	NM_168509	CG32109	12738507	12739578	4
chr3L	12801820	12803196	CG32110	1376	+	NM_168520	CG32110	12801868	12803104	1
chr3L	12734817	12738254	CG32112	3437	+	NM_001274850	CG32112	12734960	12738032	8
chr3L	12748148	12761705	CG32113	13557	+	NM_168512	CG32113	12748245	12761661	19
chr3L	12905126	12906746	CG32115	1620	-	NM_168529	CG32115	12905139	12906627	2
chr3L	12896024	12896811	CG32117	787	-	NM_168528	CG32117	12896124	12896772	1
chr3L	13239963	13241802	CG32119	1839	-	NM_168539	CG32119	13240223	13241732	2
chr3L	13409675	13415436	CG32121	5761	-	NM_001104129	CG32121	13410502	13413194	5
chr2L	3517272	3519651	CG3213	2379	-	NM_134943	CG3213	3517432	3519463	1
chr3L	13932349	13955747	CG32137	23398	+	NM_168564	CG32137	13934407	13954952	7
chr3L	14046314	14064683	CG32138	18369	+	NM_001144476	CG32138	14047167	14063234	9
chr3L	14196422	14197394	CG32141	972	+	NM_168581	CG32141	14196533	14197309	2
chr3L	15136162	15137159	CG32147	997	-	NM_168616	CG32147	15136348	15137109	2
chr3L	15016591	15017109	CG32148	518	+	NM_168602	CG32148	15016665	15016979	2
chr2R	19016126	19017712	CG3215	1586	-	NM_137916	CG3215	19016186	19017640	7
chr3L	15830872	15837162	CG32150	6290	-	NM_168635	CG32150	15830937	15834185	5
chr3L	16132600	16137136	CG32152	4536	-	NM_001300150	CG32152	16135301	16136375	4
chr2R	16874337	16878676	CG3216	4339	-	NM_166415	CG3216	16874337	16878676	11
chr3L	16839326	16840100	CG32161	774	+	NM_168688	CG32161	16839396	16840083	1
chr3L	16580256	16581243	CG32163	987	+	NM_001300154	CG32163	16580717	16580900	2
chr3L	16596152	16601246	CG32164	5094	+	NM_001275028	CG32164	16596311	16600954	8
chr3L	16588280	16593559	CG32165	5279	+	NM_001300155	CG32165	16588633	16593267	9
chr3L	16870408	16872472	CG32170	2064	+	NM_168692	CG32170	16870558	16872181	1
chr3L	17422035	17426721	CG32174	4686	-	NM_001259886	CG32174	17422246	17423437	5
chr3L	17426967	17431071	CG32176	4104	+	NM_168733	CG32176	17427036	17430958	6
chr3L	17752796	17756004	CG32181	3208	+	NM_168747	CG32181	17753245	17755805	13
chr3L	17751211	17752653	CG32182	1442	+	NM_168746	CG32182	17751264	17752524	1
chr3L	17798015	17799465	CG32187	1450	-	NM_168749	CG32187	17798039	17799393	2
chr3L	17826376	17826725	CG32188	349	-	NM_168751	CG32188	17826376	17826694	1
chr3L	17827844	17828274	CG32189	430	-	NM_168752	CG32189	17827923	17828241	1
chr3L	17799550	17802246	CG32191	2696	-	NM_001300173	CG32191	17799875	17801847	5
chr3L	18033416	18034838	CG32192	1422	+	NM_168760	CG32192	18033519	18034086	5
chr3L	18106058	18112250	CG32195	6192	+	NM_168762	CG32195	18107525	18108860	4
chr3L	18452563	18454124	CG32196	1561	-	NM_168764	CG32196	18452657	18453980	4
chr3L	18520075	18520545	CG32198	470	+	NM_168767	CG32198	18520089	18520500	1
chr3L	18604999	18607104	CG32199	2105	+	NM_168770	CG32199	18605077	18607020	7
chr3L	18602719	18604962	CG32201	2243	+	NM_168769	CG32201	18602728	18604761	7
chr3L	18675283	18675960	CG32202	677	+	NM_168774	CG32202	18675376	18675863	2
chr3L	18915518	18939138	CG32204	23620	-	NM_001104171	CG32204	18916907	18925965	8
chr3L	19333420	19406012	CG32206	72592	-	NM_176360	CG32206	19336316	19379225	14
chr3L	19480659	19481448	CG32212	789	+	NM_168799	CG32212	19481053	19481448	2
chr3L	19468938	19469523	CG32213	585	+	NM_168797	CG32213	19468989	19469438	2
chr3L	19460445	19461260	CG32214	815	+	NM_001275116	CG32214	19460499	19460909	2
chr3L	19943122	19944235	CG32219	1113	-	NM_168827	CG32219	19943603	19944172	3
chr3L	9592087	9593441	CG3222	1354	+	NM_140076	CG3222	9592172	9593312	1
chr3L	19827769	19829513	CG32221	1744	+	NM_168820	CG32221	19827900	19829337	3
chr3L	20297409	20299383	CG32225	1974	-	NM_168843	CG32225	20297700	20299269	5
chr3L	20258913	20261900	CG32228	2987	+	NM_168839	CG32228	20258913	20261661	1
chr3R	3835121	3836740	CG3223	1619	+	NM_141501	CG3223	3835209	3836588	3
chr3L	4993949	4996877	CG32232	2928	-	NM_168109	CG32232	4993949	4996877	1
chr3L	4859809	4860470	CG32235	661	-	NM_168105	CG32235	4859846	4860098	2
chr3L	4665926	4667389	CG32236	1463	-	NM_168101	CG32236	4666082	4667240	1
chr3L	4849437	4852461	CG32237	3024	-	NM_168104	CG32237	4849589	4852401	2
chr3L	4648275	4650305	CG32238	2030	+	NM_168100	CG32238	4648671	4650135	1
chrX	6554584	6555495	CG3224	911	-	NM_132107	CG3224	6554716	6555205	2
chr3L	4380863	4381629	CG32240	766	-	NM_168082	CG32240	4380927	4381486	3
chr3L	4465104	4466630	CG32241	1526	-	NM_168087	CG32241	4465225	4466624	2
chr3L	4539301	4541244	CG32243	1943	-	NM_168094	CG32243	4539406	4541168	6
chr3L	4621218	4622985	CG32246	1767	+	NM_168098	CG32246	4621264	4622962	1
chr3L	4471748	4472438	CG32248	690	+	NM_168089	CG32248	4471764	4472384	2
chr3L	4470000	4471012	CG32249	1012	+	NM_168088	CG32249	4470006	4470796	2
chr2L	4815612	4818245	CG3225	2633	-	NM_135016	CG3225	4815941	4818166	5
chr3L	4069368	4070281	CG32259	913	+	NM_168054	CG32259	4069628	4070182	3
chrX	6547145	6548281	CG3226	1136	-	NM_132104	CG3226	6547258	6548193	3
chr3L	4142363	4145966	CG32260	3603	+	NM_001274476	CG32260	4142363	4145852	7
