Chromosome	Start	Stop	Name	Size	Orientation	RefSeq	CStart	CStop	NumExons
chr1	205342379	205356568	LEMD1-AS1	14189	+	NR_038425	205356568	205356568	4
chr1	205350505	205391214	LEMD1	40709	-	NM_001199050	205350785	205389664	6
chr1	205404013	205425214	BLACAT1	21201	-	NR_103783	205425214	205425214	2
chr1	205417429	205417526	MIR135B	97	-	NR_029893	205417526	205417526	1
chr1	205473683	205501921	CDK18	28238	+	NM_002596	205492295	205500506	16
chr1	205523400	205525763	LOC284578	2363	-	NR_027086	205525763	205525763	1
chr1	205538111	205572046	MFSD4	33935	+	NM_181644	205538197	205569589	10
chr1	205577070	205602000	ELK4	24930	-	NM_001973	205585673	205593010	5
chr1	205626980	205649630	SLC45A3	22650	-	NM_033102	205628361	205633784	5
chr1	205681946	205719372	NUCKS1	37426	-	NM_022731	205687407	205719101	7
chr1	205737113	205744610	RAB29	7497	-	NM_001135662	205739469	205744084	6
chr1	205758220	205782324	SLC41A1	24104	-	NM_173854	205760660	205779569	11
chr1	205797149	205819276	PM20D1	22127	-	NM_152491	205797747	205819200	13
chr1	205831206	205865215	LOC284581	34009	+	NR_046097	205865215	205865215	3
chr1	205882176	205912588	SLC26A9	30412	-	NM_134325	205884019	205904948	22
chr1	206137264	206155151	FAM72A	17887	+	NM_001317901	206137334	206154051	4
chr1	206224282	206231482	AVPR1B	7200	+	NM_000707	206224440	206231142	2
chr1	206238871	206288647	C1orf186	49776	-	NM_001007544	206239378	206243502	6
chr1	206317458	206332104	CTSE	14646	+	NM_001910	206317576	206331185	9
chr1	206516199	206581301	SRGAP2C	65102	+	NM_001271872	206516199	206579957	7
chr1	206516199	206637783	SRGAP2	121584	+	NM_001170637	206516199	206634765	20
chr1	206557366	206581301	SRGAP2D	23935	+	NR_120535	206581301	206581301	6
chr1	206643585	206670223	IKBKE	26638	+	NM_014002	206646570	206669478	22
chr1	206648145	206648207	MIR6769B	62	+	NR_106919	206648207	206648207	1
chr1	206680862	206762616	RASSF5	81754	+	NM_182663	206680935	206760310	6
chr1	206764973	206785904	EIF2D	20931	-	NM_006893	206765106	206785695	15
chr1	206808880	206822542	DYRK3	13662	+	NM_001004023	206810296	206822310	4
chr1	206858364	206907630	MAPKAPK2	49266	+	NM_032960	206858574	206906063	10
chr1	206940947	206945839	IL10	4892	-	NM_000572	206941980	206945780	5
chr1	206972214	207016326	IL19	44112	+	NM_153758	206972239	207015967	6
chr1	207039153	207042568	IL20	3415	+	NM_018724	207039197	207041909	5
chr1	207070787	207077484	IL24	6697	+	NM_006850	207071177	207076404	7
chr1	207076630	207095378	FCMR	18748	-	NM_005449	207078363	207095199	8
chr1	207101866	207119811	PIGR	17945	-	NM_002644	207103662	207113876	11
chr1	207131311	207143970	FCAMR	12659	-	NM_001170631	207131860	207143470	8
chr1	207191865	207206101	C1orf116	14236	-	NM_023938	207195302	207200943	4
chr1	207217193	207226325	YOD1	9132	-	NM_001276320	207222364	207225580	4
chr1	207226619	207254368	PFKFB2	27749	+	NM_001018053	207228062	207252364	15
chr1	207262186	207273337	C4BPB	11151	+	NM_001017366	207262876	207273274	7
chr1	207277606	207318317	C4BPA	40711	+	NM_000715	207286370	207318062	12
chr1	207494816	207534311	CD55	39495	+	NM_001114752	207495110	207533014	11
chr1	207627644	207663240	CR2	35596	+	NM_001006658	207627763	207658899	20
chr1	207669472	207815110	CR1	145638	+	NM_000651	207669612	207812754	47
chr1	207818457	207897036	CR1L	78579	+	NM_175710	207818578	207897030	12
chr1	207925382	207968861	CD46	43479	+	NM_002389	207925557	207963649	14
chr1	207975196	207975284	MIR29C	88	-	NR_029832	207975284	207975284	1
chr1	207975787	207975868	MIR29B2	81	-	NR_029518	207975868	207975868	1
chr1	207991723	207995941	LOC148696	4218	+	NR_026817	207995941	207995941	1
chr1	208059882	208084683	CD34	24801	-	NM_001025109	208061082	208084425	8
chr1	208195587	208417665	PLXNA2	222078	-	NM_025179	208200587	208391267	32
chr1	209602167	209605892	MIR205HG	3725	+	NM_001104548	209602642	209605694	4
chr1	209605477	209605587	MIR205	110	+	NR_029622	209605587	209605587	1
chr1	209757044	209787284	CAMK1G	30240	+	NM_020439	209768328	209786220	13
chr1	209788217	209825820	LAMB3	37603	-	NM_000228	209788615	209824289	23
chr1	209796788	209796855	MIR4260	67	-	NR_036213	209796855	209796855	1
chr1	209848669	209849735	G0S2	1066	+	NM_015714	209849029	209849341	2
chr1	209859524	209908295	HSD11B1	48771	+	NM_001206741	209878287	209907866	7
chr1	209929376	209955668	TRAF3IP3	26292	+	NM_025228	209933384	209955493	17
chr1	209952552	209958075	C1orf74	5523	-	NM_152485	209956169	209956979	2
chr1	209958967	209979520	IRF6	20553	-	NM_006147	209961764	209974758	9
chr1	210001311	210030910	DIEXF	29599	+	NM_014388	210001408	210024792	12
chr1	210111518	210337633	SYT14	226115	+	NM_001146261	210111595	210334387	10
chr1	210404803	210407466	SERTAD4-AS1	2663	-	NR_024337	210407466	210407466	2
chr1	210406194	210416440	SERTAD4	10246	+	NM_019605	210411305	210415682	4
chr1	210501595	210849638	HHAT	348043	+	NM_001122834	210522319	210847721	12
chr1	210851656	211307457	KCNH1	455801	-	NM_172362	210856622	211307287	11
chr1	211432707	211489725	RCOR3	57018	+	NM_001136223	211432902	211487110	12
chr1	211499956	211548286	TRAF5	48330	+	NM_004619	211526581	211546044	11
chr1	211556096	211605877	LINC00467	49781	+	NR_026761	211605877	211605877	6
chr1	211649863	211666259	RD3	16396	-	NM_001164688	211652377	211654757	3
chr1	211748380	211752099	SLC30A1	3719	-	NM_021194	211748729	211751954	2
chr1	211813149	211827963	LOC105748977	14814	+	NR_131925	211827963	211827963	3
chr1	211831598	211848972	NEK2	17374	-	NM_001204182	211831998	211848821	8
chr1	211916798	212004114	LPGAT1	87316	-	NM_014873	211923240	212002638	8
chr1	212113740	212209002	INTS7	95262	-	NR_037667	212209002	212209002	21
chr1	212208894	212278348	DTL	69454	+	NM_016448	212209232	212276282	15
chr1	212250954	212251027	MIR3122	73	+	NR_036068	212251027	212251027	1
chr1	212398619	212458363	LOC101929541	59744	-	NR_125984	212458363	212458363	4
chr1	212458878	212535205	PPP2R5A	76327	+	NM_006243	212459452	212534112	13
chr1	212526159	212526292	SNORA16B	133	+	NR_004389	212526292	212526292	1
chr1	212537815	212588267	TMEM206	50452	-	NM_018252	212538556	212588099	8
chr1	212606228	212619721	NENF	13493	+	NM_013349	212606285	212619348	4
chr1	212719035	212729408	LOC101929565	10373	+	NR_125985	212729408	212729408	3
chr1	212738675	212794119	ATF3	55444	+	NM_001030287	212788363	212792897	4
chr1	212797788	212800120	FAM71A	2332	+	NM_153606	212798219	212800004	1
chr1	212859758	212873327	BATF3	13569	-	NM_018664	212860132	212873104	3
chr1	212899494	212965139	NSL1	65645	-	NM_001042549	212912885	212965105	7
chr1	212965169	212990167	TATDN3	24998	+	NM_001146169	212965263	212988409	10
chr1	213003484	213020991	SPATA45	17507	-	NM_001024601	213003583	213009491	3
chr1	213029945	213031480	FLVCR1-AS1	1535	-	NR_027286	213031480	213031480	2
chr1	213031596	213072705	FLVCR1	41109	+	NM_014053	213031794	213068632	10
chr1	213123861	213164927	VASH2	41066	+	NM_001136474	213125079	213161926	9
chr1	213165523	213189217	ANGEL2	23694	-	NM_144567	213168382	213189013	9
chr1	213224574	213446808	RPS6KC1	222234	+	NM_012424	213224746	213445977	15
chr1	213992983	214159496	PROX1-AS1	166513	-	NR_037850	214159496	214159496	6
chr1	214098091	214099996	LINC00538	1905	+	NR_046189	214099996	214099996	1
chr1	214161277	214214847	PROX1	53570	+	NM_001270616	214169878	214209177	5
chr1	214454564	214510477	SMYD2	55913	+	NM_020197	214454597	214510127	12
chr1	214522038	214725024	PTPN14	202986	-	NM_005401	214531264	214638146	19
chr1	214776531	214837914	CENPF	61383	+	NM_016343	214787097	214837137	20
chr1	215178884	215410436	KCNK2	231552	+	NM_001017424	215179264	215408488	7
chr1	215740734	215795149	KCTD3	54415	+	NM_016121	215741028	215793960	18
chr1	215796235	216596738	USH2A	800503	-	NM_206933	215799122	216595678	72
chr1	216245806	216260259	LOC102723833	14453	+	NR_125992	216260259	216260259	3
chr1	216676587	217311097	ESRRG	634510	-	NM_001243510	216680280	216850820	9
chr1	217600334	217804444	GPATCH2	204110	-	NM_018040	217604486	217804313	10
chr1	217804665	218041495	SPATA17	236830	+	NM_138796	217804720	218036196	11
chr1	217954539	217958462	SPATA17-AS1	3923	-	NR_125784	217958462	217958462	3
chr1	218066241	218094146	LINC00210	27905	+	NR_048550	218094146	218094146	4
chr1	218216846	218232482	LOC101929631	15636	+	NR_110794	218232482	218232482	4
chr1	218458628	218511325	RRP15	52697	+	NM_016052	218458658	218504433	5
chr1	218517537	218519020	TGFB2-AS1	1483	-	NR_046268	218519020	218519020	3
chr1	218518675	218617961	TGFB2	99286	+	NM_001135599	218520043	218614704	8
chr1	218610974	219281452	MIR548F3	670478	+	NR_031644	219281452	219281452	7
chr1	218615967	218617337	TGFB2-OT1	1370	+	NR_125715	218617337	218617337	1
chr1	219254316	219347130	LYPLAL1-AS1	92814	-	NR_038845	219347130	219347130	5
chr1	219347172	219386207	LYPLAL1	39035	+	NM_138794	219347232	219385070	5
chr1	220046618	220292777	RNU5F-1	246159	+	NR_002753	220292777	220292777	3
chr1	220087605	220101993	SLC30A10	14388	-	NM_018713	220088790	220101782	4
chr1	220141941	220220000	EPRS	78059	-	NM_004446	220142147	220219730	32
chr1	220230823	220263195	BPNT1	32372	-	NM_006085	220232185	220253188	9
chr1	220267454	220321383	IARS2	53929	+	NM_018060	220267558	220320977	23
chr1	220291194	220291304	MIR215	110	-	NR_029628	220291304	220291304	1
chr1	220291498	220291583	MIR194-1	85	-	NR_029711	220291583	220291583	1
chr1	220321609	220445843	RAB3GAP2	124234	-	NM_012414	220324592	220445679	35
chr1	220373883	220373961	MIR664A	78	-	NR_031705	220373961	220373961	1
chr1	220373887	220374018	SNORA36B	131	-	NR_002994	220374018	220374018	1
chr1	220439520	220441057	AURKAPS1	1537	-	NR_001587	220441057	220441057	1
chr1	220701524	220837799	MARK1	136275	+	NM_018650	220702164	220835508	18
chr1	220863627	220872499	C1orf115	8872	+	NM_024709	220863744	220870073	2
chr1	220921587	220958157	MARC2	36570	+	NM_017898	220921873	220955243	8
chr1	220960038	220987741	MARC1	27703	+	NM_022746	220960286	220986760	7
chr1	221002596	221005770	LINC01352	3174	+	NR_110797	221005770	221005770	4
chr1	221006104	221053482	HLX-AS1	47378	-	NR_046901	221053482	221053482	3
chr1	221052742	221058400	HLX	5658	+	NM_021958	221053199	221058046	4
chr1	221503269	221509638	C1orf140	6369	-	NR_024236	221509638	221509638	2
chr1	221874761	221915518	DUSP10	40757	-	NM_007207	221875753	221913086	4
chr1	222001007	222014008	LOC101929771	13001	-	NR_125989	222014008	222014008	4
chr1	222695601	222721444	HHIPL2	25843	-	NM_024746	222695942	222721386	9
chr1	222731243	222763275	TAF1A	32032	-	NM_001201536	222732001	222761905	12
chr1	222763261	222765975	TAF1A-AS1	2714	+	NR_110613	222765975	222765975	3
chr1	222791443	222841354	MIA3	49911	+	NM_198551	222791452	222838961	28
chr1	222841354	222885864	AIDA	44510	-	NM_022831	222843234	222885659	10
chr1	222885894	222908538	BROX	22644	+	NM_144695	222889041	222906056	13
chr1	222910557	222924002	FAM177B	13445	+	NM_207468	222919887	222923400	6
chr1	222988430	223179337	DISP1	190907	+	NM_032890	223116165	223179314	10
chr1	223282747	223316624	TLR5	33877	-	NM_003268	223283796	223286373	6
chr1	223394160	223537544	SUSD4	143384	-	NM_017982	223395533	223536767	9
chr1	223566714	223568812	CCDC185	2098	+	NM_152610	223566817	223568689	1
chr1	223714971	223853436	CAPN8	138465	-	NM_001143962	223715198	223853348	17
chr1	223889294	223963720	CAPN2	74426	+	NM_001146068	223889530	223962559	21
chr1	223967594	224033674	TP53BP2	66080	-	NM_005426	223968554	223994634	19
chr1	224138967	224180346	GTF2IP20	41379	-	NR_132119	224180346	224180346	11
chr1	224301788	224349749	FBXO28	47961	+	NM_015176	224301831	224345448	5
chr1	224370909	224381142	DEGS1	10233	+	NM_003676	224371038	224380180	3
chr1	224396449	224400981	LOC101927143	4532	-	NR_110669	224400981	224400981	2
chr1	224407314	224415745	LOC101927164	8431	+	NR_110668	224415745	224415745	3
chr1	224415035	224517891	NVL	102856	-	NM_002533	224415327	224517829	23
chr1	224444705	224444843	MIR320B2	138	-	NR_031574	224444843	224444843	1
chr1	224544512	224567153	CNIH4	22641	+	NM_001277200	224544626	224566792	5
chr1	224572844	224622001	WDR26	49157	-	NM_001115113	224577536	224621807	14
chr1	224585928	224586013	MIR4742	85	-	NR_039896	224586013	224586013	1
chr1	224804178	224928249	CNIH3	124071	+	NM_152495	224804876	224927058	6
chr1	225117355	225586996	DNAH14	469641	+	NM_001373	225140404	225586971	84
chr1	225589203	225616557	LBR	27354	-	NM_194442	225591004	225611777	14
chr1	225674533	225840845	ENAH	166312	-	NM_001008493	225685476	225840392	15
chr1	225965514	225978168	SRP9	12654	+	NM_001130440	225965642	225974671	4
chr1	225997775	226033262	EPHX1	35487	+	NM_001136018	226016430	226033048	9
chr1	226033232	226070420	TMEM63A	37188	-	NM_014698	226034740	226065280	25
chr1	226073981	226076846	LEFTY1	2865	-	NM_020997	226074426	226076766	4
chr1	226107576	226112040	PYCR2	4464	-	NM_013328	226108154	226111810	7
chr1	226109779	226109842	MIR6741	63	-	NR_106799	226109842	226109842	1
chr1	226124297	226129083	LEFTY2	4786	-	NM_001172425	226125140	226128840	5
chr1	226170402	226187066	SDE2	16664	-	NM_152608	226173002	226187013	7
chr1	226250407	226259703	H3F3A	9296	+	NM_002107	226252052	226259180	4
chr1	226250427	226259703	H3F3AP4	9276	+	NR_002315	226259703	226259703	4
chr1	226332379	226374423	ACBD3	42044	-	NM_022735	226334310	226374376	8
chr1	226411318	226414756	MIXL1	3438	+	NM_031944	226411382	226413513	2
chr1	226418849	226497449	LIN9	78600	-	NM_001270410	226420201	226485422	15
chr1	226548391	226595801	PARP1	47410	-	NM_001618	226549160	226595630	23
chr1	226736500	226796915	C1orf95	60415	+	NM_001003665	226736605	226789741	4
chr1	226819390	226926876	ITPKB	107486	-	NM_002221	226822371	226925159	8
chr1	226843780	226862769	ITPKB-IT1	18989	-	NR_103784	226862769	226862769	2
chr1	227058272	227083804	PSEN2	25532	+	NM_000447	227069608	227083280	13
chr1	227127937	227175246	ADCK3	47309	+	NM_020247	227149086	227174438	15
chr1	227177565	227505826	CDC42BPA	328261	-	NM_003607	227181968	227504883	36
chr1	227751219	227865144	ZNF678	113925	+	NR_102302	227865144	227865144	6
chr1	227884732	227885408	ZNF847P	676	-	NR_036753	227885408	227885408	2
chr1	227916239	227922055	LOC100130093	5816	+	NR_024485	227922055	227922055	3
chr1	227918889	227923112	JMJD4	4223	-	NM_001161465	227920092	227923112	6
chr1	227922696	227968932	SNAP47	46236	+	NM_053052	227923110	227968374	5
chr1	228003417	228034171	PRSS38	30754	+	NM_183062	228003417	228033909	5
chr1	228109164	228135676	WNT9A	26512	-	NM_003395	228109218	228135588	4
chr1	228129290	228129384	MIR5008	94	-	NR_049806	228129384	228129384	1
chr1	228194722	228248972	WNT3A	54250	+	NM_033131	228194829	228247166	4
chr1	228270360	228286913	ARF1	16553	+	NM_001024226	228284815	228285714	5
chr1	228284963	228285042	MIR3620	79	+	NR_037415	228285042	228285042	1
chr1	228288427	228291163	C1orf35	2736	-	NR_130975	228291163	228291163	9
chr1	228294379	228297013	MRPL55	2634	-	NM_181462	228294460	228295961	6
chr1	228327784	228336655	GUK1	8871	+	NM_001242839	228333213	228336398	8
chr1	228337414	228347527	GJC2	10113	+	NM_020435	228345459	228346779	2
chr1	228351786	228353213	IBA57-AS1	1427	-	NR_103540	228353213	228353213	2
chr1	228353508	228369958	IBA57	16450	+	NM_001010867	228353517	228363214	3
chr1	228391206	228401356	C1orf145	10150	-	NR_073155	228401356	228401356	2
chr1	228395830	228566575	OBSCN	170745	+	NM_001271223	228399484	228566496	116
chr1	228581376	228594517	TRIM11	13141	-	NM_145214	228582405	228594262	6
chr1	228584748	228584810	MIR6742	62	-	NR_106800	228584810	228584810	1
chr1	228595635	228604583	TRIM17	8948	-	NM_016102	228595901	228602773	7
chr1	228612545	228613026	HIST3H3	481	-	NM_003493	228612615	228613026	1
chr1	228645064	228645560	HIST3H2A	496	-	NM_033445	228645125	228645518	1
chr1	228645807	228646259	HIST3H2BB	452	+	NM_175055	228645830	228646211	1
chr1	228649774	228649853	MIR4666A	79	+	NR_039812	228649853	228649853	1
chr1	228675067	228683889	RNF187	8822	+	NM_001010858	228675189	228681586	4
chr1	228698059	228699989	BTNL10	1930	-	NM_001287262	228698059	228699658	3
chr1	228780393	228882416	RHOU	102023	+	NR_037962	228882416	228882416	3
chr1	228780656	228788159	DUSP5P1	7503	+	NR_002834	228788159	228788159	2
chr1	229310429	229310548	MIR4454	119	-	NR_039659	229310548	229310548	2
chr1	229406808	229441640	RAB4A	34832	+	NM_004578	229407086	229438724	8
chr1	229440128	229441250	SPHAR	1122	+	NM_006542	229440881	229441073	1
chr1	229456751	229478688	CCSAP	21937	-	NM_145257	229460981	229478212	4
chr1	229566992	229569843	ACTA1	2851	-	NM_001100	229567245	229568862	7
chr1	229577043	229644088	NUP133	67045	-	NM_018230	229577650	229643996	26
chr1	229644176	229649834	LOC101927478	5658	+	NR_110630	229649834	229649834	3
chr1	229652328	229694442	ABCB10	42114	-	NM_012089	229653925	229694399	13
chr1	229728865	229761794	TAF5L	32929	-	NM_014409	229730043	229750229	5
chr1	229761962	229795947	URB2	33985	+	NM_014777	229763380	229795044	10
chr1	230193535	230417876	GALNT2	224341	+	NM_001291866	230193813	230415204	16
chr1	230457391	230561674	PGBD5	104283	-	NM_001258311	230459170	230561674	7
chr1	230778201	230829731	COG2	51530	+	NM_007357	230778352	230829139	18
chr1	230838271	230850336	AGT	12065	-	NM_000029	230838886	230846596	5
chr1	230883160	230937749	CAPN9	54589	+	NM_016452	230883242	230937342	19
chr1	230972864	231005335	C1orf198	32471	-	NM_001136494	230975597	231004144	6
chr1	231010591	231014761	LOC101927604	4170	+	NR_110681	231014761	231014761	3
chr1	231041986	231114618	TTC13	72632	-	NM_024525	231042650	231114576	23
chr1	231114822	231136479	ARV1	21657	+	NM_022786	231114851	231133009	6
chr1	231154703	231175995	FAM89A	21292	-	NM_198552	231155608	231175957	2
chr1	231155573	231155670	MIR1182	97	-	NR_031593	231155670	231155670	1
chr1	231298673	231357314	TRIM67	58641	+	NM_001300889	231298715	231351186	12
chr1	231319844	231323373	LOC149373	3529	-	NM_001256615	231320759	231323313	3
chr1	231359508	231376933	C1orf131	17425	-	NM_001300830	231360024	231376887	7
chr1	231376918	231413719	GNPAT	36801	+	NM_014236	231377124	231413288	16
chr1	231468476	231473618	EXOC8	5142	-	NM_175876	231471313	231473491	1
chr1	231473681	231490773	SPRTN	17092	+	NM_032018	231474129	231489107	5
chr1	231499496	231560790	EGLN1	61294	-	NM_022051	231502156	231557634	5
chr1	231611509	231612271	SNRPD2P2	762	-	NR_033826	231612271	231612271	1
chr1	231664398	231702269	TSNAX	37871	+	NM_005999	231664556	231700651	6
chr1	231664398	232177019	TSNAX-DISC1	512621	+	NR_028393	232177019	232177019	16
chr1	231727037	231747836	LINC00582	20799	-	NR_034037	231747836	231747836	2
chr1	231762560	232177019	DISC1	414459	+	NM_001164537	231762613	232172577	14
chr1	231950371	231954263	DISC2	3892	-	NR_002227	231954263	231954263	1
chr1	232061579	232080951	DISC1-IT1	19372	+	NR_126441	232080951	232080951	4
chr1	232533711	232651354	SIPA1L2	117643	-	NM_020808	232534872	232651085	21
chr1	232862999	232878461	LOC101927683	15462	-	NR_110683	232878461	232878461	4
chr1	232940637	232946092	MAP10	5455	+	NM_019090	232940769	232943913	1
chr1	233086369	233114219	NTPCR	27850	+	NM_032324	233086456	233113977	5
chr1	233119881	233431459	PCNXL2	311578	-	NM_014801	233120049	233431224	34
chr1	233463513	233520894	KIAA1804	57381	+	NM_032435	233463774	233518457	10
chr1	233749749	233808258	KCNK1	58509	+	NM_002245	233749917	233807276	3
chr1	233759897	233759965	MIR4427	68	+	NR_039625	233759965	233759965	1
chr1	234040457	234460264	SLC35F3	419807	+	NM_173508	234040823	234458989	8
chr1	234442212	234442285	MIR4671	73	+	NR_039818	234442285	234442285	1
chr1	234508552	234509339	LOC101927765	787	-	NR_125961	234509339	234509339	2
chr1	234509182	234519795	COA6	10613	+	NM_001206641	234509212	234519564	3
chr1	234527058	234614849	TARBP1	87791	-	NM_005646	234527322	234614849	30
chr1	234663636	234667525	LINC01354	3889	-	NR_038426	234667525	234667525	3
chr1	234740014	234745271	IRF2BP2	5257	-	NM_001077397	234742882	234745240	2
chr1	234765056	234770526	LINC00184	5470	+	NR_033927	234770526	234770526	2
chr1	234782034	234796670	LOC101927787	14636	+	NR_125944	234796670	234796670	4
chr1	234859788	234867390	LINC01132	7602	+	NR_038856	234867390	234867390	3
chr1	235093089	235099746	LOC101927851	6657	-	NR_125945	235099746	235099746	4
chr1	235272657	235292256	TOMM20	19599	-	NM_014765	235275378	235292030	5
chr1	235291117	235291252	SNORA14B	135	-	NR_002956	235291252	235291252	1
chr1	235294497	235324571	RBM34	30074	-	NM_015014	235295027	235324541	11
chr1	235330209	235491532	ARID4B	161323	-	NM_016374	235331839	235490234	24
chr1	235353348	235353431	MIR4753	83	-	NR_039908	235353431	235353431	1
chr1	235491752	235507844	GGPS1	16092	+	NM_001037277	235498579	235506087	4
chr1	235530674	235612283	TBCE	81609	+	NM_001287801	235543364	235612077	18
chr1	235610504	235667781	B3GALNT2	57277	-	NM_152490	235613520	235667552	12
chr1	235676124	235881413	MIR5096	205289	+	NR_039973	235881413	235881413	2
chr1	235710984	235814054	GNG4	103070	-	NM_001098721	235715408	235747138	4
chr1	235824330	236047008	LYST	222678	-	NM_001301365	235826239	235993717	53
chr1	236016299	236016360	MIR1537	61	-	NR_031718	236016360	236016360	1
chr1	236139131	236228481	NID1	89350	-	NM_002508	236141166	236228379	20
chr1	236305831	236372209	GPR137B	66378	+	NM_003272	236305922	236371458	7
chr1	236378421	236445339	ERO1B	66918	-	NM_019891	236381815	236445083	16
chr1	236557679	236648008	EDARADD	90329	+	NM_145861	236557744	236645949	6
chr1	236681513	236716279	LGALS8	34766	+	NM_201545	236689370	236711461	12
chr1	236686368	236687808	LGALS8-AS1	1440	-	NR_034040	236687808	236687808	1
chr1	236712304	236767841	HEATR1	55537	-	NM_018072	236714201	236767395	45
chr1	236849753	236927927	ACTN2	78174	+	NM_001278344	236898972	236925919	23
chr1	236958580	237067281	MTR	108701	+	NM_000254	236959003	237060944	33
chr1	237167402	237167718	MT1HL1	316	-	NM_001276687	237167486	237167672	1
chr1	237205701	237997288	RYR2	791587	+	NM_001035	237205821	237995947	105
chr1	237634418	237634491	MIR4428	73	+	NR_039626	237634491	237634491	1
chr1	238025474	238091619	LOC100130331	66145	+	NR_027247	238091619	238091619	12
chr1	238041163	238054222	ZP4	13059	-	NM_021186	238045721	238053935	13
chr1	238643683	238649317	LINC01139	5634	-	NR_015407	238649317	238649317	2
chr1	239792372	240072717	CHRM3	280345	+	NM_000740	240070751	240072524	5
chr1	239870425	239882419	CHRM3-AS2	11994	-	NR_103776	239882419	239882419	3
chr1	240061318	240063172	CHRM3-AS1	1854	-	NR_046582	240063172	240063172	2
chr1	240170823	240176560	RPS7P5	5737	+	NR_036695	240176560	240176560	2
chr1	240255184	240638489	FMN2	383305	+	NM_001305424	240255409	240637454	19
chr1	240640408	240912217	MIR1273E	271809	+	NR_128706	240912217	240912217	4
chr1	240652872	240775462	GREM2	122590	-	NM_022469	240656268	240656775	2
chr1	240938813	241520530	RGS7	581717	-	NM_001282775	240963946	241519076	18
chr1	241295571	241295646	MIR3123	75	+	NR_036069	241295646	241295646	1
chr1	241660856	241683085	FH	22229	-	NM_000143	241661127	241683022	10
chr1	241695433	241758949	KMO	63516	+	NM_003679	241695744	241755455	15
chr1	241756451	241803701	OPN3	47250	-	NM_014322	241757729	241803556	4
chr1	241792166	241799232	CHML	7066	-	NM_001821	241797097	241799068	1
chr1	241815579	241965434	WDR64	149855	+	NM_144625	241815786	241964517	27
chr1	242011492	242053241	EXO1	41749	+	NM_130398	242013727	242052902	16
chr1	242121068	242122364	BECN2	1296	+	NM_001290693	242121068	242122364	1
chr1	242158791	242162385	MAP1LC3C	3594	-	NM_001004343	242159464	242162310	4
chr1	242251688	242687998	PLD5	436310	-	NM_152666	242253155	242687578	11
chr1	243219615	243265046	LINC01347	45431	-	NR_029401	243265046	243265046	18
chr1	243287729	243418708	CEP170	130979	-	NM_014812	243289750	243388582	20
chr1	243419306	243663393	SDCCAG8	244087	+	NM_006642	243419475	243663087	18
chr1	243509477	243509557	MIR4677	80	+	NR_039824	243509557	243509557	1
chr1	243651534	244006584	AKT3	355050	-	NM_181690	243663044	244006472	14
chr1	244080703	244210619	LOC339529	129916	+	NR_033883	244210619	244210619	12
chr1	244212240	244220780	ZBTB18	8540	+	NM_001278196	244217103	244218672	2
chr1	244515936	244552388	C1orf100	36452	+	NM_001012970	244528002	244552371	5
chr1	244571793	244615436	ADSS	43643	-	NM_001126	244572887	244615119	13
chr1	244624672	244803662	C1orf101	178990	+	NM_001130957	244624731	244803383	22
chr1	244816349	244872336	DESI2	55987	+	NR_123735	244872336	244872336	5
chr1	244998607	245008365	COX20	9758	+	NM_001312871	244999016	245006478	5
chr1	245013601	245027827	HNRNPU	14226	-	NM_004501	245017751	245027609	14
chr1	245017388	245017519	SNORA100	131	-	NR_132782	245017519	245017519	1
chr1	245128505	245134171	LOC101928068	5666	-	NR_111907	245134171	245134171	2
chr1	245133630	245288530	EFCAB2	154900	+	NM_001143943	245133720	245285250	7
chr1	245318286	245866428	KIF26B	548142	+	NM_018012	245318726	245865908	15
chr1	245912641	246670644	SMYD3	758003	-	NM_001167740	245912864	246670519	12
chr1	246679340	246687589	LOC255654	8249	-	NR_040002	246687589	246687589	3
chr1	246703862	246729565	TFB2M	25703	-	NM_022366	246704332	246729440	8
chr1	246729638	246831884	CNST	102246	+	NM_152609	246754864	246829207	11
chr1	246887377	246931440	SCCPDH	44063	+	NM_016002	246887724	246930602	12
chr1	246952918	246954788	LINC01341	1870	+	NR_015422	246954788	246954788	2
chr1	247002401	247094726	AHCTF1	92325	-	NM_015446	247004107	247094629	36
chr1	247108848	247171395	ZNF695	62547	-	NM_001204221	247109098	247171210	6
chr1	247108848	247242115	ZNF670-ZNF695	133267	-	NR_037894	247242115	247242115	7
chr1	247197939	247242115	ZNF670	44176	-	NM_001204220	247200750	247241898	4
chr1	247263263	247267674	ZNF669	4411	-	NM_001142572	247263675	247267501	4
chr1	247273461	247275719	C1orf229	2258	-	NM_207401	247274812	247275526	1
chr1	247285276	247335319	ZNF124	50043	-	NM_001243740	247287169	247335179	4
chr1	247365268	247365362	MIR3916	94	-	NR_037480	247365362	247365362	1
chr1	247419373	247420447	VN1R5	1074	+	NM_173858	247419373	247420447	1
chr1	247463621	247495045	ZNF496	31424	-	NM_032752	247463820	247492880	9
chr1	247579457	247612406	NLRP3	32949	+	NM_001079821	247582096	247611806	11
chr1	247614330	247615284	OR2B11	954	-	NM_001004492	247614330	247615284	1
chr1	247654369	247655711	OR2W5	1342	+	NM_001004698	247654429	247655392	1
chr1	247670359	247740992	GCSAML	70633	+	NM_001281853	247712493	247737684	7
chr1	247687980	247694106	GCSAML-AS1	6126	-	NR_027309	247694106	247694106	4
chr1	247693433	247697141	OR2C3	3708	-	NM_198074	247694850	247695813	2
chr1	247751661	247752615	OR2G2	954	+	NM_001001915	247751661	247752615	1
