uniqueID	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	uniprotID	description	geneSymbol	txSize	cdsSize
YDL238C	chrIV	-	28984	30454	28984	30454	1	28984,	30454,	Q07729	Guanine deaminase, a catabolic enzyme of the guanine salvage pathway producing xanthine and ammonia from guanine  activity is low in exponentially-growing cultures but expression is increased in post-diauxic and stationary-phase cultures	YDL238C	1470	1470
YDL237W	chrIV	+	30656	31829	30656	31829	1	30656,	31829,	Q07716	Putative protein of unknown function  YDL237W is not an essential gene	YDL237W	1173	1173
YDL236W	chrIV	+	32295	33234	32295	33234	1	32295,	33234,	P19881	Alkaline phosphatase specific for p-nitrophenyl phosphate, involved in dephosphorylation of histone II-A and casein	PHO13	939	939
YDL235C	chrIV	-	33414	33918	33414	33918	1	33414,	33918,	Q07688	Phosphorelay intermediate protein, phosphorylated by the plasma membrane sensor Sln1p in response to osmotic stress and then in turn phosphorylates the response regulators Ssk1p in the cytosol and Skn7p in the nucleus	YPD1	504	504
YDL234C	chrIV	-	34237	36478	34237	36478	1	34237,	36478,	P48365	GTPase-activating protein for yeast Rab family members including: Ypt7p (most effective), Ypt1p, Ypt31p, and Ypt32p (in vitro)  involved in vesicle mediated protein trafficking	GYP7	2241	2241
YDL233W	chrIV	+	36797	38174	36797	38174	1	36797,	38174,	Q07684	Putative protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus  YDL233W is not an essential gene	YDL233W	1377	1377
YDL232W	chrIV	+	38487	38598	38487	38598	1	38487,	38598,	Q99380	Subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes protein asparagine-linked glycosylation  type I membrane protein required for incorporation of Ost3p or Ost6p into the OST complex	OST4	111	111
YDL231C	chrIV	-	38867	42245	38867	42245	1	38867,	42245,	Q07660	Zinc finger protein containing five transmembrane domains  null mutant exhibits strongly fragmented vacuoles and sensitivity to brefeldin A, a drug which is known to affect intracellular transport	BRE4	3378	3378
YDL230W	chrIV	+	42700	43708	42700	43708	1	42700,	43708,	P25044	Phosphotyrosine-specific protein phosphatase that dephosphorylates a broad range of substrates in vivo, including Fpr3p  localized to the cytoplasm and the mitochondria	PTP1	1008	1008
YDL229W	chrIV	+	44065	45907	44065	45907	1	44065,	45907,	P11484	Cytoplasmic ATPase that is a ribosome-associated molecular chaperone, functions with J-protein partner Zuo1p  may be involved in folding of newly-made polypeptide chains  member of the HSP70 family  interacts with phosphatase subunit Reg1p	SSB1	1842	1842
YDL228C	chrIV	-	45277	45919	45277	45919	1	45277,	45919,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  almost completely overlaps the verified gene SSB1	YDL228C	642	642
YDL227C	chrIV	-	46271	48032	46271	48032	1	46271,	48032,	P09932	Site-specific endonuclease required for gene conversion at the MAT locus (homothallic switching) through the generation of a ds DNA break  expression restricted to mother cells in late G1 as controlled by Swi4p-Swi6p, Swi5p and Ash1p	HO	1761	1761
YDL226C	chrIV	-	51115	52174	51115	52174	1	51115,	52174,	P35197	ADP-ribosylation factor GTPase activating protein (ARF GAP), involved in ER-Golgi transport  shares functional similarity with Glo3p	GCS1	1059	1059
YDL225W	chrIV	+	52445	54101	52445	54101	1	52445,	54101,	Q07657	One of five related septins (Cdc3p, Cdc10p, Cdc11p, Cdc12p, Shs1p) that form a cortical filamentous collar at the mother-bud neck which is necessary for normal morphogenesis and cytokinesis	SHS1	1656	1656
YDL224C	chrIV	-	54397	56347	54397	56347	1	54397,	56347,	Q07655	Putative RNA binding protein and partially redundant Whi3p homolog that regulates the cell size requirement for passage through Start and commitment to cell division	WHI4	1950	1950
YDL223C	chrIV	-	57265	60406	57265	60406	1	57265,	60406,	Q07653	Substrate of the Hub1p ubiquitin-like protein that localizes to the shmoo tip (mating projection)  mutants are defective for mating projection formation, thereby implicating Hbt1p in polarized cell morphogenesis	HBT1	3141	3141
YDL222C	chrIV	-	60872	61802	60872	61802	1	60872,	61802,	Q07651	Integral membrane protein localized to mitochondria (untagged protein)  required for sporulation and maintaining sphingolipid content  has sequence similarity to SUR7 and YNL194C	YDL222C	930	930
YDL221W	chrIV	+	62011	62563	62011	62563	1	62011,	62563,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps the 3' end of essential gene CDC13	YDL221W	552	552
YDL220C	chrIV	-	62244	65019	62244	65019	1	62244,	65019,	P32797	Single stranded DNA-binding protein found at TG1-3 telomere G-tails  regulates telomere replication through recruitment of specific sub-complexes, but the essential function is telomere capping	CDC13	2775	2775
YDL219W	chrIV	+	65242	65766	65242	65766	2	65242,65378,	65307,65766,	Q07648	D-Tyr-tRNA(Tyr) deacylase, functions in protein translation, may affect nonsense suppression via alteration of the protein synthesis machinery  ubiquitous among eukaryotes	YDL219W	524	524
YDL218W	chrIV	+	66493	67447	66493	67447	1	66493,	67447,	Q07629	Putative protein of unknown function  YDL218W transcription is regulated by Azf1p and induced by starvation and aerobic conditions	YDL218W	954	954
YDL217C	chrIV	-	67983	68607	67983	68607	1	67983,	68607,	Q12328	Component of the mitochondrial Tim54p-Tim22p complex involved in insertion of polytopic proteins into the inner membrane	TIM22	624	624
YDL216C	chrIV	-	68997	70320	68997	70320	1	68997,	70320,	Q12468	Catalytic subunit of the COP9 signalosome (CSN) complex that acts as an isopeptidase in cleaving the ubiquitin-like protein Nedd8 from SCF ubiquitin ligases  metalloendopeptidase involved in the adaptation to pheromone signaling	RRI1	1323	1323
YDL215C	chrIV	-	70640	73919	70640	73919	1	70640,	73919,	P33327	NAD(+)-dependent glutamate dehydrogenase, degrades glutamate to ammonia and alpha-ketoglutarate  expression sensitive to nitrogen catabolite repression and intracellular ammonia levels	GDH2	3279	3279
YDL214C	chrIV	-	74446	76546	74446	76546	1	74446,	76546,	Q12310	Serine/threonine protein kinase that inhibits pheromone induced signalling downstream of MAPK, possibly at the level of the Ste12p transcription factor	PRR2	2100	2100
YDL213C	chrIV	-	77289	77967	77289	77967	1	77289,	77967,	Q07623	Putative RNA-binding protein implicated in ribosome biogenesis  contains an RNA recognition motif (RRM) and has similarity to hydrophilins  NOP6 may be a fungal-specific gene as no homologs have been yet identified in higher eukaryotes	NOP6	678	678
YDL212W	chrIV	+	78426	79059	78426	79059	1	78426,	79059,	Q02774	Endoplasmic reticulum packaging chaperone, required for incorporation of amino acid permeases into COPII coated vesicles for transport to the cell surface	SHR3	633	633
YDL211C	chrIV	-	79294	80413	79294	80413	1	79294,	80413,	Q12121	Putative protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the vacuole	YDL211C	1119	1119
YDL210W	chrIV	+	84270	85986	84270	85986	1	84270,	85986,	P32837	Permease that serves as a gamma-aminobutyrate (GABA) transport protein involved in the utilization of GABA as a nitrogen source  catalyzes the transport of putrescine and delta-aminolevulinic acid (ALA)  localized to the vacuolar membrane	UGA4	1716	1716
YDL209C	chrIV	-	86207	87227	86207	87227	1	86207,	87227,	Q12046	Protein involved in pre-mRNA splicing, component of a complex containing Cef1p  interacts with Prp19p  contains an RNA recognition motif  has similarity to S. pombe Cwf2p	CWC2	1020	1020
YDL208W	chrIV	+	87512	87983	87512	87983	1	87512,	87983,	P32495	Nuclear protein related to mammalian high mobility group (HMG) proteins, essential for function of H/ACA-type snoRNPs, which are involved in 18S rRNA processing	NHP2	471	471
YDL207W	chrIV	+	88248	89865	88248	89865	1	88248,	89865,	Q12315	Cytoplasmic nucleoporin required for polyadenylated RNA export but not for protein import  component of Nup82p nuclear pore subcomplex  contains a nuclear export signal	GLE1	1617	1617
YDL206W	chrIV	+	90176	92465	90176	92465	1	90176,	92465,	Q12424	Putative protein of unknown function  YDL206W is not an essential protein	YDL206W	2289	2289
YDL205C	chrIV	-	92762	93746	92762	93746	1	92762,	93746,	P28789	Phorphobilinogen deaminase, catalyzes the conversion of 4-porphobilinogen to hydroxymethylbilane, the third step in the heme biosynthetic pathway  localizes to both the cytoplasm and nucleus  expression is regulated by Hap2p-Hap3p	HEM3	984	984
YDL204W	chrIV	+	94605	95787	94605	95787	1	94605,	95787,	Q12443	Protein of unknown function  has similarity to mammalian reticulon proteins  member of the RTNLA (reticulon-like A) subfamily	RTN2	1182	1182
YDL203C	chrIV	-	96082	97954	96082	97954	1	96082,	97954,	Q07622	Protein that functions upstream of Pkc1p in the cell wall integrity pathway  GFP-fusion protein expression is induced in response to the DNA-damaging agent MMS  non-tagged Ack1p is detected in purified mitochondria	YDL203C	1872	1872
YDL202W	chrIV	+	98475	99225	98475	99225	1	98475,	99225,	P36521	Mitochondrial ribosomal protein of the large subunit	MRPL11	750	750
YDL201W	chrIV	+	99561	100422	99561	100422	1	99561,	100422,	Q12009	Subunit of a tRNA methyltransferase complex composed of Trm8p and Trm82p that catalyzes 7-methylguanosine modification of tRNA	TRM8	861	861
YDL200C	chrIV	-	100501	101068	100501	101068	1	100501,	101068,	P26188	DNA repair methyltransferase (6-O-methylguanine-DNA methylase) involved in protection against DNA alkylation damage	MGT1	567	567
YDL199C	chrIV	-	101290	103354	101290	103354	1	101290,	103354,	Q12407	Putative transporter, member of the sugar porter family	YDL199C	2064	2064
YDL198C	chrIV	-	103649	104552	103649	104552	1	103649,	104552,	P38988	Mitochondrial GTP/GDP transporter, essential for mitochondrial genome maintenance  has a role in mitochondrial iron transport  member of the mitochondrial carrier family	GGC1	903	903
YDL197C	chrIV	-	104917	106495	104917	106495	1	104917,	106495,	P32448	Anti-silencing protein that causes derepression of silent loci when overexpressed	ASF2	1578	1578
YDL196W	chrIV	+	106741	107071	106741	107071	1	106741,	107071,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  open reading frame is located in promoter region of essential gene SEC31	YDL196W	330	330
YDL195W	chrIV	+	107208	111030	107208	111030	1	107208,	111030,	P38968	Essential phosphoprotein component (p150) of the COPII coat of secretory pathway vesicles, in complex with Sec13p  required for ER-derived transport vesicle formation	SEC31	3822	3822
YDL194W	chrIV	+	111580	114235	111580	114235	1	111580,	114235,	P10870	Plasma membrane glucose sensor that regulates glucose transport  has 12 predicted transmembrane segments  long cytoplasmic C-terminal tail is required for low glucose induction of hexose transporter genes HXT2 and HXT4	SNF3	2655	2655
YDL193W	chrIV	+	114672	115800	114672	115800	1	114672,	115800,	Q12063	Putative prenyltransferase, required for cell viability  proposed to be involved in protein trafficking because tet-repressible mutant shows accumulation of hypoglycosylated forms of CPY	YDL193W	1128	1128
YDL192W	chrIV	+	116321	116867	116321	116867	1	116321,	116867,	P11076	ADP-ribosylation factor, GTPase of the Ras superfamily involved in regulation of coated vesicle formation in intracellular trafficking within the Golgi  functionally interchangeable with Arf2p	ARF1	546	546
YDL191W	chrIV	+	117664	118518	117664	118518	2	117664,118158,	117667,118518,	P39741	Protein component of the large (60S) ribosomal subunit, identical to Rpl35Bp and has similarity to rat L35 ribosomal protein	YDL191W	854	854
YDL190C	chrIV	-	118707	121593	118707	121593	1	118707,	121593,	P54860	Ubiquitin chain assembly factor (E4) that cooperates with a ubiquitin-activating enzyme (E1), a ubiquitin-conjugating enzyme (E2), and a ubiquitin protein ligase (E3) to conjugate ubiquitin to substrates  also functions as an E3	UFD2	2886	2886
YDL189W	chrIV	+	122078	123590	122216	123590	2	122078,122216,	122177,123590,	Q05672	Protein of unknown function, identified as a high copy suppressor of psk1 psk2 mutations that confer temperature-sensitivity for galactose utilization  proposed to bind single-stranded nucleic acids via its R3H domain	RBS1	1512	1374
YDL188C	chrIV	-	123865	124999	123865	124999	1	123865,	124999,	P23595	Catalytic subunit of protein phosphatase 2A, functionally redundant with Pph21p  methylated at C terminus  forms alternate complexes with several regulatory subunits  involved in signal transduction and regulation of mitosis	PPH22	1134	1134
YDL187C	chrIV	-	125509	125839	125509	125839	1	125509,	125839,	n/a	Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data	YDL187C	330	330
YDL186W	chrIV	+	125616	126450	125616	126450	1	125616,	126450,	P48568	Putative protein of unknown function  YDL186W is not an essential gene	YDL186W	834	834
YDL185C-A	chrIV	-	126608	126836	126608	126836	1	126608,	126836,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps the verified gene YDL185W  identified by homology with hemiascomycetous yeast species	YDL185C-A	228	228
YDL185W	chrIV	+	126787	130003	126787	130003	1	126787,	130003,	P17255	Vacuolar ATPase V1 domain subunit A containing the catalytic nucleotide binding sites  protein precursor undergoes self-catalyzed splicing to yield the extein Tfp1p and the intein Vde (PI-SceI), which is a site-specific endonuclease	TFP1	3216	3216
YDL184C	chrIV	-	130407	130485	130407	130485	1	130407,	130485,	P05746	Ribosomal protein L47 of the large (60S) ribosomal subunit, identical to Rpl41Bp and has similarity to rat L41 ribosomal protein  comprised of only 25 amino acids  rpl41a rpl41b double null mutant is viable	RPL41A	78	78
YDL182W	chrIV	+	133437	134724	133437	134724	1	133437,	134724,	P48570	Homocitrate synthase isozyme, catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway  highly similar to the other isozyme, Lys21p	LYS20	1287	1287
YDL181W	chrIV	+	135179	135437	135179	135437	1	135179,	135437,	P01097	Protein that inhibits ATP hydrolysis by the F1F0-ATP synthase  inhibitory function is enhanced by stabilizing proteins Stf1p and Stf2p  has similarity to Stf1p  has a calmodulin-binding motif and binds calmodulin in vitro	INH1	258	258
YDL180W	chrIV	+	135896	137540	135896	137540	1	135896,	137540,	Q12301	Putative protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the vacuole	YDL180W	1644	1644
YDL179W	chrIV	+	138291	139206	138291	139206	1	138291,	139206,	Q12477	Cyclin, forms a functional kinase complex with Pho85p cyclin-dependent kinase (Cdk), expressed in late M/early G1 phase, activated by Swi5p	PCL9	915	915
YDL178W	chrIV	+	139522	141115	139522	141115	1	139522,	141115,	P46681	D-lactate dehydrogenase, located in the mitochondrial matrix	DLD2	1593	1593
YDL177C	chrIV	-	141209	141722	141209	141722	1	141209,	141722,	Q12257	Putative protein of unknown function  similar to the mouse IMPACT gene  YDL177C is not an essential gene	YDL177C	513	513
YDL176W	chrIV	+	142097	144224	142097	144224	1	142097,	144224,	Q12027	Protein of unknown function, predicted by computational methods to be involved in fructose-1,6-bisphosphatase (Fbp1p) degradation  interacts with components of the GID complex  YDL176W is not an essential gene	YDL176W	2127	2127
YDL175C	chrIV	-	144484	145519	144484	145519	1	144484,	145519,	Q12476	RING finger protein that interacts with the arginine methyltransferase Hmt1p  may regulate methylation of Npl3p, which modulates Npl3p function in mRNA processing and export  has similarity to Air1p	AIR2	1035	1035
YDL174C	chrIV	-	145826	147590	145826	147590	1	145826,	147590,	P32891	D-lactate dehydrogenase, oxidizes D-lactate to pyruvate, transcription is heme-dependent, repressed by glucose, and derepressed in ethanol or lactate  located in the mitochondrial inner membrane	DLD1	1764	1764
YDL173W	chrIV	+	148191	149079	148191	149079	1	148191,	149079,	Q12515	Putative protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm  YDL173W is not an essential gene	YDL173W	888	888
YDL172C	chrIV	-	148607	149087	148607	149087	1	148607,	149087,	n/a	Dubious ORF unlikely to encode a protein, based on available experimental and comparative sequence data	YDL172C	480	480
YDL171C	chrIV	-	149203	155641	149203	155641	1	149203,	155641,	Q12680	NAD(+)-dependent glutamate synthase (GOGAT), synthesizes glutamate from glutamine and alpha-ketoglutarate  with Gln1p, forms the secondary pathway for glutamate biosynthesis from ammonia  expression regulated by nitrogen source	GLT1	6438	6438
YDL170W	chrIV	+	156318	157905	156318	157905	1	156318,	157905,	P26370	Transcriptional activator necessary for gamma-aminobutyrate (GABA)-dependent induction of GABA genes (such as UGA1, UGA2, UGA4)  zinc-finger transcription factor of the Zn(2)-Cys(6) binuclear cluster domain type  localized to the nucleus	UGA3	1587	1587
YDL169C	chrIV	-	158064	158736	158064	158736	1	158064,	158736,	P32772	Protein of unknown function, transcript accumulates in response to any combination of stress conditions	UGX2	672	672
YDL168W	chrIV	+	159604	160765	159604	160765	1	159604,	160765,	P32771	Bifunctional enzyme containing both alcohol dehydrogenase and glutathione-dependent formaldehyde dehydrogenase activities, functions in formaldehyde detoxification and formation of long chain and complex alcohols, regulated by Hog1p-Sko1p	SFA1	1161	1161
YDL167C	chrIV	-	160995	163155	160995	163155	1	160995,	163155,	P32770	Putative RNA binding protein of unknown function  localizes to stress granules induced by glucose deprivation	NRP1	2160	2160
YDL166C	chrIV	-	163449	164043	163449	164043	1	163449,	164043,	Q12055	Essential NTPase required for small ribosome subunit synthesis, mediates processing of the 20S pre-rRNA at site D in the cytoplasm but associates only transiently with 43S preribosomes via Rps14p, may be the endonuclease for site D	FAP7	594	594
YDL165W	chrIV	+	164290	164866	164290	164866	1	164290,	164866,	P06100	Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation  basal transcription factor	CDC36	576	576
YDL164C	chrIV	-	164987	167255	164987	167255	1	164987,	167255,	P04819	DNA ligase found in the nucleus and mitochondria, an essential enzyme that joins Okazaki fragments during DNA replication  also acts in nucleotide excision repair, base excision repair, and recombination	CDC9	2268	2268
YDL163W	chrIV	+	166956	167259	166956	167259	1	166956,	167259,	n/a	Dubious open reading frame unlikely to encode a protein, based on experimental and comparative sequence data  partially overlaps the verified gene CDC9/YDL164C encoding DNA ligase	YDL163W	303	303
YDL162C	chrIV	-	167359	167716	167359	167716	1	167359,	167716,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps ENT1/YDL161W, a verified gene involved in endocytosis and actin cortical patch assembly	YDL162C	357	357
YDL161W	chrIV	+	167714	169079	167714	169079	1	167714,	169079,	Q12518	Epsin-like protein involved in endocytosis and actin patch assembly and functionally redundant with Ent2p  binds clathrin via a clathrin-binding domain motif at C-terminus	ENT1	1365	1365
YDL160C-A	chrIV	-	169366	169609	169366	169609	1	169366,	169609,	Q3E829	Putative protein of unknown function	YDL160C-A	243	243
YDL160C	chrIV	-	170410	171931	170410	171931	1	170410,	171931,	P39517	Cytoplasmic DExD/H-box helicase, stimulates mRNA decapping, coordinates distinct steps in mRNA function and decay, interacts with both the decapping and deadenylase complexes, may have a role in mRNA export and translation	DHH1	1521	1521
YDL159W-A	chrIV	+	172182	172314	172182	172314	1	172182,	172314,	Q3E774	Putative protein of unknown function  identified by sequence comparison with hemiascomycetous yeast species	YDL159W-A	132	132
YDL159W	chrIV	+	172481	174029	172481	174029	1	172481,	174029,	P06784	Signal transducing MAP kinase kinase involved in pheromone response, where it phosphorylates Fus3p, and in the pseudohyphal/invasive growth pathway, through phosphorylation of Kss1p  phosphorylated by Ste11p, degraded by ubiquitin pathway	STE7	1548	1548
YDL159C-B	chrIV	-	173056	173233	173056	173233	1	173056,	173233,	n/a	Putative protein of unknown function  identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	YDL159C-B	177	177
YDL158C	chrIV	-	173866	174175	173866	174175	1	173866,	174175,	n/a	Dubious ORF unlikely to encode a protein, based on available experimental and comparative sequence data	YDL158C	309	309
YDL157C	chrIV	-	174232	174589	174232	174589	1	174232,	174589,	Q12082	Putative protein of unknown function  the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	YDL157C	357	357
YDL156W	chrIV	+	174918	176487	174918	176487	1	174918,	176487,	Q12510	Putative protein of unknown function  protein sequence contains three WD domains (WD-40 repeat)  green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus	YDL156W	1569	1569
YDL155W	chrIV	+	176773	178057	176773	178057	1	176773,	178057,	P24870	B-type cyclin involved in cell cycle progression  activates Cdc28p to promote the G2/M transition  may be involved in DNA replication and spindle assembly  accumulates during S phase and G2, then targeted for ubiquitin-mediated degradation	CLB3	1284	1284
YDL154W	chrIV	+	178334	181040	178334	181040	1	178334,	181040,	Q12175	Protein of the MutS family, forms a dimer with Msh4p that facilitates crossovers between homologs during meiosis  msh5-Y823H mutation confers tolerance to DNA alkylating agents  homologs present in C. elegans and humans	MSH5	2706	2706
YDL153C	chrIV	-	181186	183019	181186	183019	1	181186,	183019,	Q12136	Essential subunit of U3-containing Small Subunit (SSU) processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit  disrupts silencing when overproduced	SAS10	1833	1833
YDL152W	chrIV	+	182822	183188	182822	183188	1	182822,	183188,	n/a	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps the verified ORF SAS10/YDL153C, a component of the small ribosomal subunit processosome	YDL152W	366	366
YDL151C	chrIV	-	183318	183900	183318	183900	1	183318,	183900,	n/a	Dubious open reading frame, unlikely to encode a protein  not conserved in closely related Saccharomyces species  96% of ORF overlaps the verified gene RPC53  diploid mutant displays a weak budding pattern phenotype in a systematic assay	BUD30	582	582
YDL150W	chrIV	+	183343	184612	183343	184612	1	183343,	184612,	P25441	RNA polymerase III subunit C53	RPC53	1269	1269
YDL149W	chrIV	+	184925	187919	184925	187919	1	184925,	187919,	Q12142	Transmembrane protein involved in forming Cvt and autophagic vesicles  cycles between the phagophore assembly site (PAS) and other cytosolic punctate structures, not found in autophagosomes  may be involved in membrane delivery to the PAS	ATG9	2994	2994
YDL148C	chrIV	-	188154	190587	188154	190587	1	188154,	190587,	Q99207	Nucleolar protein, forms a complex with Noc4p that mediates maturation and nuclear export of 40S ribosomal subunits  also present in the small subunit processome complex, which is required for processing of pre-18S rRNA	NOP14	2433	2433
YDL147W	chrIV	+	190924	192262	190924	192262	1	190924,	192262,	Q12250	Essential, non-ATPase regulatory subunit of the 26S proteasome lid, similar to mammalian p55 subunit and to another S. cerevisiae regulatory subunit, Rpn7p	RPN5	1338	1338
YDL146W	chrIV	+	192750	194226	192750	194226	1	192750,	194226,	Q12342	Protein of unknown function  GFP-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck  null mutant shows a reduced affinity for the alcian blue dye suggesting a decreased net negative charge of the cell surface	YDL146W	1476	1476
YDL145C	chrIV	-	194571	198177	194571	198177	1	194571,	198177,	P53622	Alpha subunit of COPI vesicle coatomer complex, which surrounds transport vesicles in the early secretory pathway	COP1	3606	3606
YDL144C	chrIV	-	198662	199733	198662	199733	1	198662,	199733,	Q07589	Putative protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus  YDL144C is not an essential gene.	YDL144C	1071	1071
YDL143W	chrIV	+	199996	201583	199996	201583	1	199996,	201583,	P39078	Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo	CCT4	1587	1587
YDL142C	chrIV	-	201719	202571	201719	202571	1	201719,	202571,	Q07560	Cardiolipin synthase  produces cardiolipin, which is a phospholipid of the mitochondrial inner membrane that is required for normal mitochondrial membrane potential and function  also required for normal vacuolar ion homeostasis	CRD1	852	852
YDL141W	chrIV	+	203039	205112	203039	205112	1	203039,	205112,	P48445	Biotin:apoprotein ligase, covalently modifies proteins with the addition of biotin, required for acetyl-CoA carboxylase (Acc1p) holoenzyme formation	BPL1	2073	2073
YDL140C	chrIV	-	205360	210562	205360	210562	1	205360,	210562,	P04050	RNA polymerase II largest subunit B220, part of central core  phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors  similar to bacterial beta-prime	RPO21	5202	5202
YDL139C	chrIV	-	211375	212047	211375	212047	1	211375,	212047,	Q12334	Nonhistone component of centromeric chromatin that binds stoichiometrically to CenH3-H4 histones, required for kinetochore assembly  contains nuclear export signal (NES)  required for G2/M progression and localization of Cse4p	YDL139C	672	672
YDL138W	chrIV	+	213351	215643	213351	215643	1	213351,	215643,	Q12300	Plasma membrane glucose receptor, highly similar to Snf3p  both Rgt2p and Snf3p serve as transmembrane glucose sensors generating an intracellular signal that induces expression of glucose transporter (HXT) genes	RGT2	2292	2292
YDL137W	chrIV	+	216157	217074	216528	217074	2	216157,216528,	216489,217074,	P19146	ADP-ribosylation factor, GTPase of the Ras superfamily involved in regulation of coated formation vesicles in intracellular trafficking within the Golgi  functionally interchangeable with Arf1p	ARF2	917	546
YDL136W	chrIV	+	217599	218367	217599	218367	2	217599,218007,	217602,218367,	P39741	Protein component of the large (60S) ribosomal subunit, identical to Rpl35Ap and has similarity to rat L35 ribosomal protein	YDL136W	768	768
YDL135C	chrIV	-	218679	219288	218679	219288	1	218679,	219288,	Q12434	Rho GDP dissociation inhibitor involved in the localization and regulation of Cdc42p	RDI1	609	609
YDL134C	chrIV	-	219661	220771	219661	220771	1	219661,	220771,	P23594	Catalytic subunit of protein phosphatase 2A, functionally redundant with Pph22p  methylated at C terminus  forms alternate complexes with several regulatory subunits  involved in signal transduction and regulation of mitosis	PPH21	1110	1110
YDL133C-A	chrIV	-	221723	221801	221723	221801	1	221723,	221801,	P05746	Ribosomal protein L47 of the large (60S) ribosomal subunit, identical to Rpl41Ap and has similarity to rat L41 ribosomal protein  comprised of only 25 amino acids  rpl41a rpl41b double null mutant is viable	RPL41B	78	78
YDL133W	chrIV	+	222426	223740	222426	223740	1	222426,	223740,	Q12516	Putative protein of unknown function	YDL133W	1314	1314
YDL132W	chrIV	+	224303	226751	224303	226751	1	224303,	226751,	Q12018	Cullin, structural protein of SCF complexes (which also contain Skp1p, Cdc34p, Hrt1p and an F-box protein) involved in ubiquitination  SCF promotes the G1-S transition by targeting G1 cyclins and the Cln-CDK inhibitor Sic1p for degradation	CDC53	2448	2448
YDL131W	chrIV	+	227392	228715	227392	228715	1	227392,	228715,	Q12122	Homocitrate synthase isozyme, catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway  highly similar to the other isozyme, Lys20p	LYS21	1323	1323
YDL130W-A	chrIV	+	229170	229431	229170	229431	1	229170,	229431,	P01098	Protein involved in regulation of the mitochondrial F1F0-ATP synthase  Stf1p and Stf2p may act as stabilizing factors that enhance inhibitory action of the Inh1p protein	STF1	261	261
YDL130W	chrIV	+	229905	230527	229905	230527	2	229905,230320,	230019,230527,	P10622	Ribosomal protein P1 beta, component of the ribosomal stalk, which is involved in interaction of translational elongation factors with ribosome  accumulation is regulated by phosphorylation and interaction with the P2 stalk component	YDL130W	622	622
YDL129W	chrIV	+	231023	231899	231023	231899	1	231023,	231899,	Q07555	Putative protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus  YDL129W is not an essential gene	YDL129W	876	876
YDL128W	chrIV	+	232651	233887	232651	233887	1	232651,	233887,	Q99385	Vacuolar H+/Ca2+ exchanger involved in control of cytosolic Ca2+ concentration  has similarity to sodium/calcium exchangers, including the bovine Na+/Ca2+,K+ antiporter	VCX1	1236	1236
YDL127W	chrIV	+	234926	235853	234926	235853	1	234926,	235853,	P25693	G1 cyclin, associates with Pho85p cyclin-dependent kinase (Cdk) to contribute to entry into the mitotic cell cycle, essential for cell morphogenesis  localizes to sites of polarized cell growth	PCL2	927	927
YDL126C	chrIV	-	236156	238664	236156	238664	1	236156,	238664,	P25694	ATPase in ER, nuclear membrane and cytosol with homology to mammalian p97  in a complex with Npl4p and Ufd1p participates in retrotranslocation of ubiquitinated proteins from the ER into the cytosol for degradation by the proteasome	CDC48	2508	2508
YDL125C	chrIV	-	239018	239606	239018	239606	2	239018,239509,	239398,239606,	Q04344	Adenosine 5'-monophosphoramidase  interacts physically and genetically with Kin28p, a CDK and TFIIK subunit, and genetically with CAK1  member of the histidine triad (HIT) superfamily of nucleotide-binding proteins and similar to Hint	YDL125C	588	588
YDL124W	chrIV	+	240258	241197	240258	241197	1	240258,	241197,	Q07551	NADPH-dependent alpha-keto amide reductase  reduces aromatic alpha-keto amides, aliphatic alpha-keto esters, and aromatic alpha-keto esters  member of the aldo-keto reductase (AKR) family	YDL124W	939	939
